treatment,species,individual,year,abundance,notes id,order,notes_id,guild,bodylength_mm,stage
no predators+fertilised,Tillia,TPF18,2020,1,Hymenoptera,Hymenoptera,Ant,Predator,3.1,Adult
fertilised,Tillia,TF4,2020,1,Hymenoptera,Hymenoptera,Ant,Predator,4.5,Adult
no predators,Alnus,APC25,2020,1,Hymenoptera,Hymenoptera,Ant,Predator,3,Adult
no predators,Alnus,APC25,2020,1,Hymenoptera,Hymenoptera,Ant,Predator,3,Adult
no predators,Alnus,APC25,2020,1,Hymenoptera,Hymenoptera,Ant,Predator,3.1,Adult
no predators,Alnus,APC25,2020,1,Hymenoptera,Hymenoptera,Ant,Predator,3,Adult
no predators,Alnus,APC25,2020,1,Hymenoptera,Hymenoptera,Ant,Predator,3,Adult
no predators,Alnus,APC25,2020,1,Hymenoptera,Hymenoptera,Ant,Predator,3.3,Adult
no predators,Alnus,APC25,2020,1,Hymenoptera,Hymenoptera,Ant,Predator,3.1,Adult
no predators+fertilised,Tillia,TPF15,2020,1,Psocoptera,Psocoptera,NA,No relationship,2,Adult
no predators+fertilised,Tillia,TPF15,2020,1,Thysanoptera,Thysanoptera,NA,Sucking,1.3,Adult
no predators+fertilised,Tillia,TPF15,2020,1,Lepidoptera,Lepidoptera,Geometridae,Chewing,15,Juvenile
no predators+fertilised,Tillia,TPF15,2020,1,Lepidoptera,Lepidoptera,Geometridae,Chewing,11,Juvenile
no predators+fertilised,Tillia,TPF15,2020,1,Hymenoptera,Hymenoptera,wasp,Chewing,10,Juvenile
control,Tillia,TC14,2021,1,Hymenoptera,Hymenoptera,CHALCIDOIDEA,Predator,0.6,Adult
no predators,Alnus,APC24,2020,1,Hymenoptera,Hymenoptera,Ant,Predator,3.2,Adult
no predators,Alnus,APC24,2020,1,Hymenoptera,Hymenoptera,Ant,Predator,3,Adult
no predators,Alnus,APC24,2020,1,Hymenoptera,Hymenoptera,Ant,Predator,3.2,Adult
no predators,Alnus,APC24,2020,1,Hymenoptera,Hymenoptera,Ant,Predator,2.9,Adult
no predators,Alnus,APC24,2020,1,Hymenoptera,Hymenoptera,Ant,Predator,3,Adult
no predators,Alnus,APC24,2020,1,Hymenoptera,Hymenoptera,Ant,Predator,3.4,Adult
no predators,Alnus,APC24,2020,1,Hymenoptera,Hymenoptera,Ant,Predator,3,Adult
no predators,Alnus,APC24,2020,1,Hymenoptera,Hymenoptera,Ant,Predator,3.1,Adult
no predators,Alnus,APC24,2020,1,Hymenoptera,Hymenoptera,Ant,Predator,3.1,Adult
no predators,Alnus,APC24,2020,1,Hymenoptera,Hymenoptera,Ant,Predator,3.3,Adult
no predators,Alnus,APC24,2020,1,Hymenoptera,Hymenoptera,Ant,Predator,3.2,Adult
no predators+fertilised,Alnus,APF19,2020,1,Hymenoptera,Hymenoptera,Ant,Predator,4,Adult
no predators+fertilised,Alnus,APF19,2020,1,Hymenoptera,Hymenoptera,Ant,Predator,4.6,Adult
control,Tillia,TC12,2020,1,Thysanoptera,Thysanoptera,NA,Sucking,0.9,Adult
no predators+fertilised,Tillia,TPF21,2020,1,Hymenoptera,Hymenoptera,Ant,Predator,4.1,Adult
no predators+fertilised,Tillia,TPF21,2020,1,Hymenoptera,Hymenoptera,Ant,Predator,4.2,Adult
no predators+fertilised,Tillia,TPF21,2020,1,Hymenoptera,Hymenoptera,Ant,Predator,4.6,Adult
no predators+fertilised,Tillia,TPF21,2020,1,Hymenoptera,Hymenoptera,Ant,Predator,4,Adult
control,Alnus,AC11,2020,1,Auchenorrhyncha,Heteroptera,Aphidoidea,Sucking,0.9,Juvenile
no predators,Alnus,APC23,2020,1,Hymenoptera,Hymenoptera,Ant,Predator,4.1,Adult
no predators+fertilised,Tillia,TPF18,2020,1,Ixodoidea,Ixodoidea,NA,No relationship,1.5,Juvenile
fertilised,Tillia,TF4,2020,1,Diptera,Diptera,Cecidomyiidae,No relationship,2.2,Adult
fertilised,Tillia,TF4,2020,1,Collembola,Collembola,Entomobryidae,No relationship,1.1,Adult
fertilised,Tillia,TF4,2020,1,Araneae,Araneae,Araneidae,Predator,1.2,Adult
fertilised,Tillia,TF4,2020,1,Auchenorrhyncha,Heteroptera,NA,Sucking,2,Juvenile
fertilised,Tillia,TF4,2020,1,Heteroptera,Heteroptera,NA,Sucking,2.5,Juvenile
fertilised,Tillia,TF4,2020,1,Psocoptera,Psocoptera,NA,No relationship,1,Adult
fertilised,Tillia,TF4,2020,1,Diptera,Diptera,Platypalpus,Predator,2.2,Adult
fertilised,Tillia,TF4,2020,1,Heteroptera,Heteroptera,NA,Sucking,6,Adult
fertilised,Tillia,TF4,2020,1,Curculionidae,Coleoptera,NA,Chewing,7.1,Adult
fertilised,Tillia,TF4,2020,1,Tettigoniidae,ORTHOPTERA,NA,Predator,40,NA
fertilised,Tillia,TF4,2020,1,Elateridae,Coleoptera,NA,Chewing,11.1,Adult
fertilised,Alnus,AF5,2020,1,Diptera,Diptera,Platypalpus1?,Predator,3.1,Adult
fertilised,Alnus,AF5,2020,1,Diptera,Diptera,Platypalpus1?,Predator,2.9,Adult
fertilised,Alnus,AF5,2020,1,Diptera,Diptera,Platypalpus1?,Predator,3,Adult
fertilised,Alnus,AF5,2020,1,Diptera,Diptera,Platypalpus2?,Predator,2.8,Adult
fertilised,Alnus,AF5,2020,1,Araneae,Araneae,Araneidae,Predator,2.1,Adult
fertilised,Alnus,AF5,2020,1,Tettigoniidae,ORTHOPTERA,NA,Predator,40,NA
fertilised,Alnus,AF5,2020,1,Tettigoniidae,ORTHOPTERA,NA,Predator,40,NA
fertilised,Alnus,AF5,2020,1,Curculionidae,Coleoptera,NA,Chewing,5,Adult
fertilised,Alnus,AF5,2020,1,Auchenorrhyncha,Heteroptera,NA,Sucking,1.2,Adult
fertilised,Alnus,AF5,2020,1,Collembola,Collembola,Entomobryidae,No relationship,1.9,Adult
fertilised,Alnus,AF5,2020,1,Collembola,Collembola,Entomobryidae,No relationship,2,Adult
fertilised,Alnus,AF5,2020,1,Psocoptera,Psocoptera,NA,No relationship,3,Adult
fertilised,Alnus,AF5,2020,1,Psocoptera,Psocoptera,NA,No relationship,2.8,Adult
fertilised,Alnus,AF5,2020,1,Psocoptera,Psocoptera,NA,No relationship,3,Adult
fertilised,Alnus,AF5,2020,1,Heteroptera,Heteroptera,Reduviidae,Predator,2.2,Juvenile
fertilised,Alnus,AF5,2020,1,Diptera,Diptera,Cecidomyiidae,No relationship,4,Adult
fertilised,Alnus,AF5,2020,1,Lepidoptera,Lepidoptera,Geometridae,Chewing,12,Juvenile
fertilised,Alnus,AF5,2020,1,Lepidoptera,Lepidoptera,Geometridae,Chewing,8,Juvenile
fertilised,Alnus,AF5,2020,1,Lepidoptera,Lepidoptera,Geometridae,Chewing,10,Juvenile
fertilised,Alnus,AF5,2020,1,Lepidoptera,Lepidoptera,Geometridae,Chewing,14,Juvenile
fertilised,Tillia,TF2,2020,1,Elateridae,Coleoptera,NA,Chewing,12,Adult
fertilised,Tillia,TF2,2020,1,Elateridae,Coleoptera,NA,Chewing,10,Adult
fertilised,Tillia,TF2,2020,1,Elateridae,Coleoptera,NA,Chewing,14,Adult
fertilised,Tillia,TF2,2020,1,Elateridae,Coleoptera,NA,Chewing,9,Adult
fertilised,Tillia,TF2,2020,1,Elateridae,Coleoptera,NA,Chewing,11,Adult
fertilised,Tillia,TF2,2020,1,Lepidoptera,Lepidoptera,NA,Chewing,13,Juvenile
