Date,Time,Species,Scientific name,"Size
(cm)",Sex,Status,Tags,Bioregion,SD region,Beach,a,b,biomass_g,biomass_kg
29/07/2023,13:23,White Shark,Carcharodon carcharias,334,M,Alive,"ID, A",NSW North Coast,Ballina,Angels Beach,0.00871,3.04,409456.1647,409.4561647
15/12/2023,08:45,Tiger Shark,Galeocerdo cuvier,218,F,Alive,"ID, A",NSW North Coast,Ballina,Angels Beach,0.00724,3.09,121778.0825,121.7780825
04/01/2024,07:27,Common Blacktip,Carcharhinus limbatus,181,M,Alive,ID,NSW North Coast,Ballina,Angels Beach,0.022941,2.881574,73498.79629,73.49879629
07/01/2024,12:59,Common Blacktip,Carcharhinus limbatus,NA,NA,Dead,,NSW North Coast,Ballina,Angels Beach,0.022941,2.881574,NA,NA
28/01/2024,16:43,Great Hammerhead,Sphyrna mokarran,280,NA,Alive,,NSW North Coast,Ballina,Angels Beach,0.00224,3.1,86384.91604,86.38491604
29/07/2023,11:07,White Shark,Carcharodon carcharias,305,M,Alive,"ID, A",NSW North Coast,Ballina,Boulders Beach,0.00871,3.04,310663.0964,310.6630964
13/09/2023,10:10,Silky Whaler,Carcharhinus falciformis,330,F,Alive,ID,NSW North Coast,Ballina,Boulders Beach,0.006645,3.006672,248222.0339,248.2220339
28/11/2023,NA,Smooth Hammerhead,Sphyrna zygaena,153,M,Alive,ID,NSW North Coast,Ballina,Boulders Beach,0.00417,3.03,17368.05119,17.36805119
24/12/2023,09:24,Smooth Hammerhead,Sphyrna zygaena,179,M,Alive,ID,NSW North Coast,Ballina,Boulders Beach,0.00417,3.03,27943.49595,27.94349595
08/04/2024,14:33,Common Blacktip,Carcharhinus limbatus,136,F,Alive,ID,NSW North Coast,Ballina,Boulders Beach,0.022941,2.881574,32252.44113,32.25244113
06/06/2024,10:23,Tiger Shark,Galeocerdo cuvier,258,F,Alive,"ID, A",NSW North Coast,Ballina,Boulders Beach,0.00724,3.09,204947.8929,204.9478929
23/06/2024,10:39,Tiger Shark,Galeocerdo cuvier,173,M,Alive,"ID, A",NSW North Coast,Ballina,Boulders Beach,0.00724,3.09,59607.51611,59.60751611
05/08/2023,07:23,Greynurse Shark,Carcharias taurus,233,M,Alive,ID,NSW North Coast,Ballina,Lennox Headland,0.0107,3.03,159394.0914,159.3940914
05/08/2023,11:45,Dusky Whaler,Carcharhinus obscurus,308,F,Alive,ID,NSW North Coast,Ballina,Lennox Headland,0.00794,3.07,346474.4405,346.4744405
08/12/2023,07:36,Shortfin Mako Shark,Isurus oxyrinchus,335,F,Alive,ID,NSW North Coast,Ballina,Lennox Headland,0.093585714,2.891142857,1868421.333,1868.421333
12/12/2023,09:03,Smooth Hammerhead,Sphyrna zygaena,177,M,Alive,ID,NSW North Coast,Ballina,Lennox Headland,0.00417,3.03,27008.16338,27.00816338
30/07/2023,07:08,White Shark,Carcharodon carcharias,263,F,Alive,"ID, A",NSW North Coast,Ballina,Lighthouse Beach,0.00871,3.04,198008.4073,198.0084073
25/08/2023,11:45,White Shark,Carcharodon carcharias,189,F,Alive,"ID, A",NSW North Coast,Ballina,Lighthouse Beach,0.00871,3.04,72520.70873,72.52070873
05/12/2023,07:10,White Shark,Carcharodon carcharias,227,F,Alive,"ID, A",NSW North Coast,Ballina,Lighthouse Beach,0.00871,3.04,126571.743,126.571743
02/02/2024,08:12,Bull Shark,Carcharhinus leucas,204,M,Alive,"ID, A",NSW North Coast,Ballina,Lighthouse Beach,0.0175,2.84,63443.58625,63.44358625
19/03/2024,12:14,Bull Shark,Carcharhinus leucas,242,F,Alive,"ID, A",NSW North Coast,Ballina,Lighthouse Beach,0.0175,2.84,103056.0964,103.0560964
28/04/2024,06:37,Bull Shark,Carcharhinus leucas,216,F,Alive,"ID, A",NSW North Coast,Ballina,Lighthouse Beach,0.0175,2.84,74625.40515,74.62540515
06/07/2023,12:44,Bull Shark,Carcharhinus leucas,280,F,Alive,"ID, A",NSW North Coast,Ballina,Main Beach,0.0175,2.84,155943.3493,155.9433493
07/07/2023,14:52,Dusky Whaler,Carcharhinus obscurus,282,M,Alive,ID,NSW North Coast,Ballina,Main Beach,0.00794,3.07,264292.7592,264.2927592
12/07/2023,08:52,Shortfin Mako Shark,Isurus oxyrinchus,186,M,Alive,ID,NSW North Coast,Ballina,Main Beach,0.093585714,2.891142857,340953.9273,340.9539273
09/08/2023,11:58,Smooth Hammerhead,Sphyrna zygaena,168,F,Alive,ID,NSW North Coast,Ballina,Main Beach,0.00417,3.03,23058.08196,23.05808196
18/08/2023,14:12,Greynurse Shark,Carcharias taurus,249,M,Alive,ID,NSW North Coast,Ballina,Main Beach,0.0107,3.03,194925.1151,194.9251151
27/08/2023,14:45,White Shark,Carcharodon carcharias,280,F,Alive,"ID, A",NSW North Coast,Ballina,Main Beach,0.00871,3.04,239540.2896,239.5402896
01/09/2023,15:07,Bronze Whaler,Carcharhinus brachyurus,267,M,Alive,ID,NSW North Coast,Ballina,Main Beach,0.00468,3.1,155750.9712,155.7509712
13/09/2023,13:38,Bronze Whaler,Carcharhinus brachyurus,263,M,Alive,ID,NSW North Coast,Ballina,Main Beach,0.00468,3.1,148630.7514,148.6307514
10/10/2023,11:56,Common Blacktip,Carcharhinus limbatus,162,F,Alive,ID,NSW North Coast,Ballina,Main Beach,0.022941,2.881574,53394.11142,53.39411142
23/11/2023,07:47,Shortfin Mako Shark,Isurus oxyrinchus,279,F,Alive,ID,NSW North Coast,Ballina,Main Beach,0.093585714,2.891142857,1101033.881,1101.033881
28/11/2023,10:44,White Shark,Carcharodon carcharias,223,F,Alive,"ID, A",NSW North Coast,Ballina,Main Beach,0.00871,3.04,119912.6329,119.9126329
