order,recorder,location,Year,Site,species,Weight,Wing
1,wdn,EU,0,16,Elminia albonotata,7.2,64
2,wdn,EU,0,16,Elminia albonotata,7.2,61.5
3,wdn,EU,0,16,Bradypterus lopezi,15.7,60
4,wdn,EU,0,16,Phyllastrephus cabanisi,23,76
5,wdn,EU,0,16,Phyllastrephus cabanisi,26.3,82
6,wdn,EU,0,16,Cyanomitra olivacea,8.2,54
7,wdn,EU,0,16,Illadopsis rufipennis,26,78
8,wdn,EU,0,16,Illadopsis rufipennis,25,70
9,wdn,EU,0,16,Artisornis metopias,7.6,45
10,wdn,EU,0,16,Arizelocichla masukuensis,27,85
11,wdn,EU,0,16,Arizelocichla masukuensis,27.5,86
12,wdn,EU,0,16,Arizelocichla masukuensis,28,85
13,wdn,EU,0,16,Arizelocichla masukuensis,27.2,77
14,wdn,EU,0,16,Arizelocichla masukuensis,27,90
15,wdn,EU,0,16,Phyllastrephus albigula,11.8,66
16,wdn,EU,0,16,Phyllastrephus albigula,14,69
17,wdn,EU,0,16,Elminia albonotata,7.9,64
18,wdn,EU,0,16,Bradypterus lopezi,20.4,57
19,wdn,EU,0,16,Bradypterus lopezi,20.4,60
20,wdn,EU,0,16,Eurillas virens,23.4,81
21,wdn,EU,0,16,Eurillas virens,23.5,78
22,wdn,EU,0,16,Eurillas virens,25.5,81
23,wdn,EU,0,16,Cyanomitra olivacea,7.1,55
24,wdn,EU,0,16,Cyanomitra olivacea,9.4,61
25,wdn,EU,0,16,Cyanomitra olivacea,9.4,55
26,wdn,EU,0,16,Cyanomitra olivacea,7.5,55
27,wdn,EU,0,16,Cyanomitra olivacea,8.7,61
28,wdn,EU,0,16,Cyanomitra olivacea,7.5,57
29,wdn,EU,0,16,Arizelocichla masukuensis,26,80
30,wdn,EU,0,16,Arizelocichla masukuensis,28,82
31,wdn,EU,0,16,Arizelocichla masukuensis,27,83
32,wdn,EU,0,16,Phyllastrephus albigula,14.7,68
33,wdn,EU,0,16,Phyllastrephus albigula,15.4,67
34,wdn,EU,0,16,Elminia albonotata,6.9,55
35,wdn,EU,0,16,Elminia albonotata,7.4,61
36,wdn,EU,0,16,Bradypterus lopezi,19.3,58
37,wdn,EU,0,16,Batis mixta,11.5,60
38,wdn,EU,0,16,Batis mixta,13.5,64
39,wdn,EU,0,16,Geokichla gurneyi,57.2,106
40,wdn,EU,0,16,Phyllastrephus cabanisi,28.5,84
41,wdn,EU,0,16,Phyllastrephus cabanisi,25.2,80
42,wdn,EU,0,16,Phyllastrephus cabanisi,22.7,72
43,wdn,EU,0,16,Phyllastrephus cabanisi,24.5,76
44,wdn,EU,0,16,Phyllastrephus cabanisi,25.5,86
