Site	id	Date	Trip	Year	Fish	Number	Size	a	b	biomass_g	biomass_kg	individual_biomass_kg
Lady Elliot Island	LE_T1_27Sep18	27/09/2018 00:00	Win2018	2018	Acanthurus nigrofuscus	1	16	0.044	2.812000036	107.0133868	0.107013387	0.107013387
Lady Elliot Island	LE_T1_27Sep18	27/09/2018 00:00	Win2018	2018	Acanthurus nigrofuscus	1	17	0.044	2.812000036	126.9039341	0.126903934	0.126903934
Lady Elliot Island	LE_T1_27Sep18	27/09/2018 00:00	Win2018	2018	Acanthurus nigrofuscus	1	18	0.044	2.812000036	149.0318196	0.14903182	0.14903182
Lady Elliot Island	LE_T1_27Sep18	27/09/2018 00:00	Win2018	2018	Acanthurus nigrofuscus	1	21	0.044	2.812000036	229.8970396	0.22989704	0.22989704
Lady Elliot Island	LE_T1_27Sep18	27/09/2018 00:00	Win2018	2018	Acanthurus nigrofuscus	1	10	0.044	2.812000036	28.5399173	0.028539917	0.028539917
Lady Elliot Island	LE_T1_27Sep18	27/09/2018 00:00	Win2018	2018	Acanthurus nigrofuscus	1	20	0.044	2.812000036	200.4236971	0.200423697	0.200423697
Lady Elliot Island	LE_T1_27Sep18	27/09/2018 00:00	Win2018	2018	Acanthurus nigrofuscus	2	14	0.044	2.812000036	147.0262051	0.147026205	0.073513103
Lady Elliot Island	LE_T1_27Sep18	27/09/2018 00:00	Win2018	2018	Acanthurus nigrofuscus	1	12	0.044	2.812000036	47.65520884	0.047655209	0.047655209
Lady Elliot Island	LE_T1_27Sep18	27/09/2018 00:00	Win2018	2018	Acanthurus nigrofuscus	3	20	0.044	2.812000036	601.2710914	0.601271091	0.200423697
Lady Elliot Island	LE_T1_27Sep18	27/09/2018 00:00	Win2018	2018	Acanthurus nigrofuscus	1	13	0.044	2.812000036	59.68448093	0.059684481	0.059684481
Lady Elliot Island	LE_T1_27Sep18	27/09/2018 00:00	Win2018	2018	Scolopsis bilineata	1	23	0.0138	3.06	202.6591723	0.202659172	0.202659172
Lady Elliot Island	LE_T1_27Sep18	27/09/2018 00:00	Win2018	2018	Scolopsis bilineata	7	22	0.0138	3.06	1238.19923	1.23819923	0.176885604
Lady Elliot Island	LE_T1_27Sep18	27/09/2018 00:00	Win2018	2018	Scolopsis bilineata	1	17	0.0138	3.06	80.36237918	0.080362379	0.080362379
Lady Elliot Island	LE_T1_27Sep18	27/09/2018 00:00	Win2018	2018	Scolopsis bilineata	1	16	0.0138	3.06	66.75537399	0.066755374	0.066755374
Lady Elliot Island	LE_T1_27Sep18	27/09/2018 00:00	Win2018	2018	Thalassoma hardwicke	1	17	0.00716	3.256999969	72.85932173	0.072859322	0.072859322
Lady Elliot Island	LE_T1_27Sep18	27/09/2018 00:00	Win2018	2018	Parupeneus multifasciatus	1	16	0.091499999	2.414999962	74.02370225	0.074023702	0.074023702
Lady Elliot Island	LE_T1_27Sep18	27/09/2018 00:00	Win2018	2018	Parupeneus multifasciatus	1	18	0.091499999	2.414999962	98.37939377	0.098379394	0.098379394
Lady Elliot Island	LE_T1_27Sep18	27/09/2018 00:00	Win2018	2018	Halichoeres hortulanus	1	14	0.014848915	3	40.74542256	0.040745423	0.040745423
Lady Elliot Island	LE_T1_27Sep18	27/09/2018 00:00	Win2018	2018	Dascyllus reticulatus	3	4	0.0612	2.746999979	8.274303808	0.008274304	0.002758101
Lady Elliot Island	LE_T1_27Sep18	27/09/2018 00:00	Win2018	2018	Dascyllus reticulatus	1	5	0.0612	2.746999979	5.091221733	0.005091222	0.005091222
Lady Elliot Island	LE_T1_27Sep18	27/09/2018 00:00	Win2018	2018	Dascyllus reticulatus	1	7	0.0612	2.746999979	12.83026784	0.012830268	0.012830268
Lady Elliot Island	LE_T1_27Sep18	27/09/2018 00:00	Win2018	2018	Pterocaesio digramma	50	1	0.00794	3.282999992	0.396999996	0.000397	0.00000794
Lady Elliot Island	LE_T1_27Sep18	27/09/2018 00:00	Win2018	2018	Acanthurus olivaceus	1	32	0.038400002	3.055000067	1522.525339	1.522525339	1.522525339
Lady Elliot Island	LE_T1_27Sep18	27/09/2018 00:00	Win2018	2018	Gomphosus varius	2	15	0.02437	2.702689886	73.5352328	0.073535233	0.036767616
Lady Elliot Island	LE_T1_27Sep18	27/09/2018 00:00	Win2018	2018	Gomphosus varius	1	16	0.02437	2.702689886	43.77422076	0.043774221	0.043774221
Lady Elliot Island	LE_T1_27Sep18	27/09/2018 00:00	Win2018	2018	Gomphosus varius	1	6	0.02437	2.702689886	3.089989753	0.00308999	0.00308999
Lady Elliot Island	LE_T1_27Sep18	27/09/2018 00:00	Win2018	2018	Gomphosus varius	1	13	0.02437	2.702689886	24.97462391	0.024974624	0.024974624
