Taxa,Study,site,MSlognormX2,MSlognormdf,MSlognormP,lognormX2,lognormdf,lognormP,MSBPLX2,MSBPLdf,MSBPLP,BPLX2,BPLdf,BPLP
Corals,Australia_BTZ,Lady Elliot Island,53.05567929,22,0.000223092,27.13585746,22,0.206111828,73.44320713,22,1.88E-07,137.986637,22,8.54E-19
Corals,Australia_BTZ,Lady Musgrave Island,170.2984293,41,1.09E-17,148.7087101,41,3.94E-14,906.1880057,41,2.02E-163,1324.428843,41,4.94E-251
Corals,Australia_BTZ,Libbies Lair,116.2652248,38,7.29E-10,99.17359135,38,2.31E-07,845.9669892,38,6.12E-153,1238.541833,38,3.27E-235
Corals,Australia_BTZ,Tenements,81.42882722,32,3.46E-06,61.0438675,32,0.001476113,425.1960609,32,3.15E-70,610.9059982,32,3.33E-108
Corals,Australia_BTZ,Flat Rock,22.69787234,26,0.649977856,17.56595745,26,0.890989746,378.7914894,26,2.65E-64,490.9276596,26,2.62E-87
Corals,Australia_BTZ,Henderson Rock,21.85714286,9,0.009342926,19.35714286,9,0.022321741,20.07142857,9,0.017476673,27.92857143,9,0.000980435
Corals,Australia_BTZ,Flinders,19.99107143,21,0.521826863,18.71428571,21,0.603462614,139.0267857,21,2.08E-19,206.5,21,1.90E-32
Corals,Australia_BTZ,Inner Gneering Shoals,55.10687023,34,0.012462559,46.18320611,34,0.079359474,508.2366412,34,6.70E-86,811.8549618,34,1.38E-148
Corals,Australia_BTZ,Wolf Rock,15.82142857,16,0.465491864,13.69642857,16,0.621317793,111.1428571,16,2.72E-16,121.7678571,16,2.51E-18
Corals,Australia_BTZ,Cook Island,29.58139535,17,0.02952679,26.65116279,17,0.063386141,109.3953488,17,1.57E-15,138.6976744,17,3.91E-21
Corals,Australia_BTZ,Mudjimba,21.73634945,25,0.650919105,22.14196568,25,0.627533474,323.1092044,25,1.35E-53,471.2402496,25,6.88E-84
Corals,Australia_BTZ,North Solitary Island,21.2,26,0.731567852,20.87761194,26,0.748253564,284.7522388,26,2.32E-45,462.3074627,26,2.09E-81
Corals,Australia_BTZ,Julian Rock False Trench,16,11,0.14113088,9.739130435,11,0.553994075,13.65217391,11,0.252840972,21.47826087,11,0.028741469
Corals,Australia_BTZ,Julian Rock Nursery,13.81927711,14,0.46326016,16.1686747,14,0.303182419,61.71084337,14,5.87E-08,92.61445783,14,1.21E-13
Corals,Australia_BTZ,Black Rock,4.559322034,9,0.870909279,4.559322034,9,0.870909279,13.37288136,9,0.146446813,21.84745763,9,0.009375204
Corals,Australia_BTZ,South Solitary Island,15.79260238,27,0.956785677,18.2338177,27,0.896210827,204.8758256,27,2.92E-29,375.1690885,27,5.55E-63
Corals,Australia_BTZ,North West Solitary Island,42.35215947,24,0.011781075,33.79734219,24,0.088335738,173.7475083,24,1.14E-24,301.2392027,24,9.44E-50
Corals,Australia_BTZ,Woolgoolga Reef,2.842105263,7,0.899214433,2,7,0.959840369,2.421052632,7,0.932923642,4.526315789,7,0.717546135
Corals,Australia_BTZ,North Rock,9.973684211,10,0.442805096,12.28947368,10,0.266150171,18.07894737,10,0.053646425,22.42105263,10,0.01309755
Corals,Australia_BTZ,South West Solitary Island,39.66475645,26,0.042067211,25.89398281,26,0.468944205,190.2922636,26,6.26E-27,332.1002865,26,7.59E-55
Fish,Australia_BTZ,Lady Elliot Island,NA,NA,NA,8007.520911,47,0,NA,NA,NA,9282.026182,47,0
Fish,Australia_BTZ,Lady Musgrave Island,NA,NA,NA,2452.334579,37,0,NA,NA,NA,3369.780062,37,0
Fish,Australia_BTZ,Libbies Lair,NA,NA,NA,1350.249423,34,5.71E-262,NA,NA,NA,2408.925327,34,0
Fish,Australia_BTZ,Tenements,NA,NA,NA,4249.252483,44,0,NA,NA,NA,5285.221026,44,0
Fish,Australia_BTZ,Flat Rock,NA,NA,NA,601.0964995,31,7.94E-107,NA,NA,NA,1023.605487,31,3.14E-195
Fish,Australia_BTZ,Henderson Rock,NA,NA,NA,784.0526316,29,2.55E-146,NA,NA,NA,1411.618421,29,3.74E-279
Fish,Australia_BTZ,Flinders,NA,NA,NA,3378.728033,42,0,NA,NA,NA,5668.303115,42,0
Fish,Australia_BTZ,Inner Gneering Shoals,NA,NA,NA,4764.25393,44,0,NA,NA,NA,6322.476421,44,0
Fish,Australia_BTZ,Wolf Rock,NA,NA,NA,465,26,5.84E-82,NA,NA,NA,488.025,26,1.04E-86
Fish,Australia_BTZ,Cook Island,NA,NA,NA,2750.320117,34,0,NA,NA,NA,2791.333333,34,0
Fish,Australia_BTZ,Mudjimba,NA,NA,NA,763.7640449,25,5.25E-145,NA,NA,NA,1025.433387,25,2.33E-200
Fish,Australia_BTZ,North Solitary Island,NA,NA,NA,1350.78577,34,4.40E-262,NA,NA,NA,2917.4215,34,0
Fish,Australia_BTZ,Julian Rock False Trench,NA,NA,NA,779.7012658,27,7.20E-147,NA,NA,NA,1672.086076,27,0
Fish,Australia_BTZ,Julian Rock Nursery,NA,NA,NA,7009.222581,33,0,NA,NA,NA,7648.751613,33,0
Fish,Australia_BTZ,Black Rock,NA,NA,NA,13628.0538,33,0,NA,NA,NA,13945.94304,33,0
Fish,Australia_BTZ,South Solitary Island,NA,NA,NA,565.8657106,27,3.60E-102,NA,NA,NA,893.4693611,27,7.77E-171
Fish,Australia_BTZ,North West Solitary Island,NA,NA,NA,7555.535211,43,0,NA,NA,NA,7693.037559,43,0
Fish,Australia_BTZ,Woolgoolga Reef,NA,NA,NA,149.0900901,16,1.18E-23,NA,NA,NA,289.990991,16,3.00E-52
Fish,Australia_BTZ,North Rock,NA,NA,NA,823.2478632,24,2.54E-158,NA,NA,NA,826.6666667,24,4.80E-159
Fish,Australia_BTZ,South West Solitary Island,NA,NA,NA,2889.900109,39,0,NA,NA,NA,2805.774159,39,0
