,Photo.Order,Site,Year,Transect,Photo.Rep,Photo.Name,ROI.Type,ROI.Rep,ROI.LabelCode,Area,StdDev,Mode,Perim.,Feret,MinFeret,Cal.Length,X.1,out.of.frame,Out.of.frame,Cal.nums,Cal.Length.mean,Diameter.circular,Volume.spherical,Geom.Mean.D,logArea
1,343,Black Rock,2018,T1,1,BR_10Sept2018_T1_IMG_8334.JPG,Tl,1,NA,225.5778709,20.386,135,58.65532715,18.78862096,16.01181654,0,NA,FALSE,FALSE,4,244.5725,16.94740882,2548.640265,17.34473845,5.418665425
2,344,Black Rock,2018,T1,2,BR_10Sept2018_T1_IMG_8335.JPG,Te,1,o,1576.474314,17.356,63,190.9508363,75.29529265,34.65049304,0,NA,TRUE,FALSE,4,285.85625,44.80211422,47086.25486,51.07855728,7.362946186
3,345,Black Rock,2018,T1,3,BR_10Sept2018_T1_IMG_8337.JPG,Tl,1,o,880.1740337,23.536,54,128.2153613,42.61552561,30.35199174,0,NA,TRUE,FALSE,4,289.7085,33.47644524,19643.39856,35.96478947,6.780119653
4,346,Black Rock,2018,T1,4,BR_10Sept2018_T1_IMG_8340.JPG,Tl,1,o,6376.490034,26.609,102,609.2207895,117.8260419,92.33973949,0,NA,TRUE,FALSE,4,289.357,90.10437985,383033.1201,104.3073632,8.760373074
5,347,Black Rock,2018,T1,5,BR_10Sept2018_T1_IMG_8341.JPG,Pa,1,NA,109.8273178,17.093,124,45.53993948,15.53451994,10.31346432,0,NA,FALSE,FALSE,4,316.4475,11.82524774,865.8234942,12.65759524,4.698909294
6,347,Black Rock,2018,T1,5,BR_10Sept2018_T1_IMG_8341.JPG,Pga,1,o,53.65540811,20.076,137,31.94476177,11.41070794,7.548582308,0,NA,TRUE,FALSE,4,316.4475,8.265360694,295.6542008,9.280876471,3.982582268
7,347,Black Rock,2018,T1,5,BR_10Sept2018_T1_IMG_8341.JPG,Te,1,o,515.9816809,27.295,97,141.3354822,58.7375789,19.27649926,0,NA,TRUE,FALSE,4,316.4475,25.63139248,8816.885985,33.64899547,6.246071263
8,348,Black Rock,2018,T1,6,BR_10Sept2018_T1_IMG_8343.JPG,Te,1,o,5609.851208,29.103,68,348.5917069,108.4024672,71.61337798,0,NA,TRUE,FALSE,4,266.01175,84.51440349,316075.4857,88.10826781,8.632279475
9,348,Black Rock,2018,T1,6,BR_10Sept2018_T1_IMG_8343.JPG,Pa,1,NA,1337.405163,18.887,100,237.7483325,65.8605118,41.67409898,0,NA,FALSE,FALSE,4,266.01175,41.2654473,36792.41484,52.38966967,7.19848657
10,349,Black Rock,2018,T1,7,BR_10Sept2018_T1_IMG_8345.JPG,Te,1,o,7078.167682,37.421,142,325.7752577,117.0055701,78.19309923,0,NA,TRUE,FALSE,3,349.903,94.93262346,447966.0182,95.6505523,8.864770351
11,349,Black Rock,2018,T1,7,BR_10Sept2018_T1_IMG_8345.JPG,Pa,1,NA,5.79749874,21.618,154,9.147049325,3.357444778,2.322900918,0,NA,FALSE,FALSE,3,349.903,2.716910866,10.50085822,2.792671043,1.757426573
12,350,Black Rock,2018,T1,8,BR_10Sept2018_T1_IMG_8347.JPG,Pga,1,o,8114.20552,NA,NA,NA,NA,NA,0,NA,TRUE,FALSE,4,294.732,101.6431372,549835.5367,NA,9.001371573
13,350,Black Rock,2018,T1,8,BR_10Sept2018_T1_IMG_8347.JPG,Pa,1,NA,63.1448426,NA,NA,NA,NA,NA,0,NA,FALSE,FALSE,4,294.732,8.966521658,377.4597325,NA,4.145431176
14,351,Black Rock,2018,T1,9,BR_10Sept2018_T1_IMG_8348.JPG,Tl,1,NA,38.12485793,34.25,134,23.88611975,8.939810655,5.568304205,0,NA,FALSE,FALSE,4,274.60425,6.967214418,177.0827066,7.055464922,3.640866508
15,351,Black Rock,2018,T1,9,BR_10Sept2018_T1_IMG_8348.JPG,Pa,1,NA,390.9412499,24.5,74,88.98722434,29.54400742,18.09294649,0,NA,FALSE,FALSE,4,274.60425,22.31057729,5814.749981,23.120081,5.968557293
16,351,Black Rock,2018,T1,9,BR_10Sept2018_T1_IMG_8348.JPG,Te,1,o,1146.200401,28.631,98,164.8994508,59.22847152,34.04768863,0,NA,TRUE,FALSE,4,274.60425,38.20193289,29191.38054,44.90648679,7.044207752
17,351,Black Rock,2018,T1,9,BR_10Sept2018_T1_IMG_8348.JPG,Pga,1,o,4481.400741,20.261,107,425.2218602,107.3581709,73.1829897,0,NA,TRUE,FALSE,4,274.60425,75.5373857,225675.5308,88.63854644,8.407690942
18,352,Black Rock,2018,T1,10,BR_10Sept2018_T1_IMG_8352.JPG,Pga,1,NA,3076.405205,NA,NA,NA,NA,NA,0,NA,FALSE,FALSE,4,316.77675,62.585947,128359.8221,NA,8.031517053
19,352,Black Rock,2018,T1,10,BR_10Sept2018_T1_IMG_8352.JPG,Pa,1,o,131.657478,NA,NA,NA,NA,NA,0,NA,TRUE,FALSE,4,316.77675,12.94725868,1136.402283,NA,4.880203686
20,353,Black Rock,2018,T1,11,BR_10Sept2018_T1_IMG_8354.JPG,Pa,1,NA,165.0264339,NA,NA,NA,NA,NA,0,NA,FALSE,FALSE,4,306.942,14.49545382,1594.755368,NA,5.106105666
